#term	rank	w or l
agent	3	w
agency	3	w
autonomous	3	w
up to	3	w
autonomy	3	w
autonomous	3	w
autonomously	3	w
semi-autonomous	2	w
(semi-)autonomous	2	w
semi-autonomy	1	w
toautonomously	2	w
human-autonomy	1	w
full-autonomy	3	w
autonomata	3	w
self-autonomous	3	w
task environment	3	w
physical world	1	w
simulators	1	w
simulate	2	w
simulating	2	w
simulates	2	w
simulation	2	w
simulations	2	w
simulator	2	w
simulated	2	w
llm-simulated	3	w
simulation-based	1	w
simulator-rendered	1	w
simulacra	2	w
re-simulating	1	w
simula	2	w
simulatable	1	w
self-simulated	1	w
simulation(s)	1	w
microsimulation	1	w
dynamics	1	w
dynamic	3	w
dynamically	3	w
dynamical	1	w
structural-dynamical	1	w
dynamically-generated	3	w
dynamics-model	2	w
dynamicaly	2	w
dynamics-based	2	w
influenced by	1	w
influences the	1	w
influence of	1	w
influence their	1	w
influence on	1	w
influencing training	1	w
influences from	1	w
influence ,	1	w
influence each	1	w
influences of	1	w
influence the	1	w
influences both	1	w
influence performance	1	w
influence .	1	w
influences navigation	1	w
influence decision-making	1	w
influence this	1	w
influences how	1	w
influence long-term	1	w
influencing other	1	w
influencing how	1	w
influences other	1	w
influence one	1	w
influencing such	1	w
influence and	1	w
influence perception	1	w
influencing their	1	w
influence training	1	w
influence temporal	2	w
influences *	1	w
influence its	1	w
influences operator	3	w
influence behavior	3	w
influenced the	1	w
influenced either	1	w
influence flows	1	w
influence agents	3	w
influence (	1	w
influence both	1	w
influencing the	1	w
influences sensations	2	w
influence internal	3	w
influences policy-gradient	3	w
influence that	1	w
influencing reinforcement	3	w
influencing ai	1	w
influence memory	3	w
influencing factors	3	w
influences performance	3	w
influences actions	3	w
influence processing	3	w
influences converge	3	w
influencing action	3	w
influencing communication	2	w
influencing its	1	w
influence how	1	w
influenced to	1	w
influence decision	2	w
influence emotion	2	w
influence-based abstraction	3	w
influence-aware memory	3	w
influences what	1	w
influence what	1	w
influence social	1	w
influence overall	1	w
influences overall	1	w
influenced its	1	w
influence diagrams	1	w
influences preference	1	w
influenced movement	3	w
influence factors	3	w
influence :	1	w
influences learning	2	w
influence sensations	2	w
interact	3	w
action	3	w
actions	3	w
active	3	w
interactions	3	w
interaction	3	w
interacting	3	w
actor	3	w
acts	3	w
act	3	w
latent-action	2	w
actuated	1	w
interacts	3	w
actuators	3	w
acting	3	w
state-actions	3	w
factors	2	w
actuation	1	w
interacted	3	w
state-action	2	w
action-specific	1	w
factor	1	w
actively	3	w
activating	2	w
activated	2	w
activations	1	w
activity	2	w
interactive	2	w
acted	3	w
counterfactual	3	w
discrete-action	3	w
reactively	2	w
reactive	2	w
action-state	3	w
reactivity	1	w
activities	2	w
[int]eractive	2	w
activate	2	w
react	2	w
actors	3	w
activates	2	w
enact	1	w
reaction	1	w
action-level	1	w
vision-language-acting	2	w
vision-language-action	2	w
factored	2	w
act-then-reason	1	w
reason-then-act	1	w
actre-prompted	1	w
action-space	3	w
action-value	2	w
mm-react	1	w
reactiveness	2	w
reacts	2	w
actualize	1	w
macro-actions	1	w
actions-observations	1	w
observation-action	2	w
learnact	2	w
action-learning	2	w
actioncreation	2	w
actionlearn	2	w
action-policy	3	w
act+reflexion	3	w
react+reflexion	3	w
open-action	3	w
active-prompt	2	w
interactivesandbox	3	w
theirinteractions	1	w
planactions	3	w
codeaction	1	w
code-action	1	w
actionable	3	w
low-levelactionable	2	w
subsequentactions	2	w
intelligentinteractions	3	w
actwithin	3	w
act-r	3	w
actor-network	3	w
reactive-reactive	3	w
reactance	1	w
actuator	3	w
soft-actor	1	w
conductor-action	1	w
sc-interaction	1	w
sa-interaction	1	w
learning-from-interaction	3	w
pro-activeness	1	w
action-labeled	1	w
planner-actor-reporter	3	w
actor(s)	3	w
omniact	3	w
seeact	3	w
seeactchoice	3	w
soft-actor-critic	1	w
subaction	1	w
intractability	1	w
reactions	2	w
interactively	2	w
machines(actor)	1	w
plan+act	2	w
proactively	1	w
perception-prediction-reaction	2	w
perception-reaction	2	w
memory-interaction	3	w
action-repeat	1	w
interactional	1	w
sense-plan-act	2	w
percept-action	3	w
condition-action	3	w
counterfactuals	3	w
state-action-reward-next	2	w
state-action-reward-state-action	3	w
interactivity	3	w
two-action	1	w
actorcritic	1	w
random-action	1	w
action-observation	2	w
action-selection	2	w
entropyactions	3	w
action-planning	3	w
action-spaces	3	w
thought-action-observation	3	w
action-related	1	w
perceive-decide-act	3	w
perceive-plan-act	2	w
reacting	2	w
joint-action	2	w
action-ranking	2	w
actor-critic-based	1	w
perceptual-action	2	w
macro-action	1	w
(de)activate	1	w
activate(object)	1	w
deactivate(object)	1	w
deactivation	1	w
action-sequences	2	w
actualized	1	w
action-based	2	w
multi-actor-attention-critic	2	w
action-choosing	3	w
internal-action	3	w
re-activate	1	w
action-states	3	w
perception-to-action	3	w
enacting	1	w
self-activating	3	w
self-activation	3	w
exploration-actions	2	w
exploreact	2	w
action-probabilities	1	w
action-logits	1	w
action(s)	3	w
action-execution	3	w
actor-league-learner	1	w
meta-actions	1	w
actuating	1	w
action-adventure	1	w
multireact	1	w
actualised	1	w
micro-action	1	w
s_actuator	1	w
action-values	1	w
actor-critc	1	w
observation-action-reward	2	w
observation-action-policy	2	w
sor-react	1	w
actuates	1	w
actuator-driven	3	w
return-observation-action	2	w
interaction-based	2	w
enacts	1	w
stateaction	1	w
hyper-actor	1	w
actor-mimic	1	w
hyper-actor-module	1	w
hyper-actor-task	1	w
meta-action	1	w
mindact	1	w
action-noise	2	w
enacted	1	w
language-action	1	w
states-action	1	w
interactable	2	w
state-to-action	2	w
reactionary	1	w
action-sense-learn	3	w
attractor-based	2	w
continuous-action	2	w
interactionbased	1	w
interactibility	1	w
action-wise	1	w
activityprograms	1	w
explore-and-act	2	w
exploration-and-act	2	w
action-stimulus	2	w
counter-factual	3	w
action-conditional	2	w
option-action	1	w
action-oriented	2	w
enactive	2	w
autoact	2	w
action-conditioned	1	w
environment-interaction	3	w
action-set	3	w
interactants	2	w
action-clip	2	w
action-clips	2	w
chain-of-action	1	w
action-plannings	2	w
perception-action	2	w
enaction	1	w
enactions	1	w
sub-actions	2	w
sub-action	2	w
intra-action	2	w
inter-action	2	w
reacted	1	w
interaction-aware	2	w
counter-actions	2	w
counter-action	2	w
state-action-state	1	w
state-action-reward	2	w
sense-act	2	w
next-action	1	w
action-to-effect	2	w
step(action)	1	w
planact	1	w
planreact	1	w
action-descriptions	2	w
activable	1	w
action-reward	2	w
action	3	w
acting	3	w
do	2	w
up to	3	w
purpose	3	w
purposive	3	w
purposeful	3	w
purposefulness	3	w
purposefully	3	w
purpose-driven	3	w
purpose	3	w
goal	3	w
task	2	w
policy	3	w
utility	3	w
utility function	3	w
history	3	w
memory	3	w
memory-based	3	w
memorization	3	w
memorisation	3	w
memories	3	w
memorized	2	w
memory-augmented	2	w
memorymechanism	2	w
memorize	3	w
memorizing	3	w
two-memory	2	w
memorises	3	w
long-short-term-memory	3	w
memory-interaction	2	w
memory-driven	3	w
processing-in-memory	3	w
memory-intensive	3	w
memory-bound	2	w
memory-bounded	2	w
memory-boundedness	3	w
dual-memory	2	w
memorybank	2	w
memory-enhanced	2	w
memorization-retrieval-response	2	w
think-in-memory	1	w
memory-module	3	w
episodic-memory	3	w
updatememory	3	w
memory-changing	3	w
layered-memory	2	w
meta-memory	2	w
meta-memories	2	w
memory-embedding	3	w
memory-transfer	1	w
memory-guided	3	w
memory-dependent	3	w
learning-to-memorize	3	w
memory-like	2	w
self-memory	3	w
memorizes	3	w
place-memory	3	w
memorizer	3	w
memoryful	3	w
implanted-memory	2	w
memory-creator	3	w
short-term-memory	2	w
memory-augmentation	2	w
memory-incorporated	2	w
memory-equipped	2	w
subject	3	w
individual agent	3	w
adaptation	3	w
adaptive	3	w
adapting	3	w
adaptability	3	w
adapted	3	w
adapt	3	w
adaptivity	3	w
adaptively	3	w
adapts	3	w
self-adaptive	3	w
adaption	2	w
adaptions	2	w
adaptable	2	w
domain-adaptation	3	w
adapters	2	w
bayes-adaptive	3	w
adapter	2	w
self-adaptation	3	w
selfadaptation	3	w
self-adaption	3	w
co-adaptation	1	w
co-adapting	1	w
context-adaptive	3	w
adaptations	1	w
